U_s,I_s,s,T,Vib,THD,P_f,Brzina,Temp,Klasa
399.939595439111,227.283326446605,0.264962169431166,NaN,0.012032368394574,0.645752696651179,0.790091083177518,230.918944862563,15519.2167591043,0
399.939595439111,233.471717282985,0.279677744554388,NaN,0.0147570715825538,0.682397004182966,0.811784142533866,226.295910592517,16373.4048337254,0
399.939595439111,226.589157124469,0.263336137539499,NaN,0.0144335038141979,0.558048841756711,0.787657388608127,231.429777847099,15423.2138995066,0
399.939595439111,231.455822476621,0.274840676027644,NaN,0.0126025794366262,0.526175309552024,0.804718103380518,227.81552048737,16093.3502529982,0
399.939595439111,228.293767930019,0.267337930559146,NaN,0.0110788062608626,0.580506047119403,0.793633482463953,230.172577491928,15655.570821672,0
399.939595439111,228.922579612464,0.268821719068604,NaN,0.0130143578048615,0.686611972353027,0.795837896808033,229.706431583849,15742.4192212739,0
399.939595439111,226.133376725531,0.262271216071914,NaN,0.0139609513222208,0.632986288240002,0.786059428277504,231.764332793021,15361.558205047,0
399.939595439111,225.817522457185,0.261534486921564,NaN,0.0110190783858277,0.63853177286676,0.784952030559381,231.995783081663,15319.9834618022,0
399.939595439111,229.236258095613,0.269563422695055,NaN,0.0108345329606219,0.642366491281033,0.796937534164696,229.473418517449,15785.6641620498,0
399.939595439111,230.900875774013,0.273516463283414,NaN,0.014649835857961,0.626598713672469,0.802772828368174,228.231534190276,16015.6229919007,0
399.939595439111,226.113960670251,0.262225898476375,NaN,0.0134040946136398,0.625294884789607,0.785991355203179,231.778569735543,15360.1033580426,0
399.939595439111,227.2353592929,0.264849650536589,NaN,0.0120286039685726,0.530566828450492,0.789922916799714,230.954293715822,15511.3975058896,0
399.939595439111,233.943683270876,0.280816269503471,NaN,0.0144534393669927,0.638779791673999,0.813438380034963,225.938232430921,16439.8754246357,0
399.939595439111,228.98440471009,0.268967826295036,NaN,0.0116321945465569,0.661164701883372,0.796054633114923,229.660530644929,15751.2570384205,0
399.939595439111,225.970438425383,0.261891034381071,NaN,0.0144841450363219,0.577756866978114,0.785488161772948,231.883770393719,15340.14395281,0
399.939595439111,225.998216259984,0.2619558286438,NaN,0.0105504442386659,0.665679389666159,0.785585551940032,231.86341467574,15343.1165804774,0
399.939595439111,226.081611781711,0.262150403941916,NaN,0.011080282980332,0.653527233139493,0.785877939244971,231.802287043027,15353.9366800013,0
399.939595439111,226.679734277595,0.263548024577152,NaN,0.0146843185520432,0.587310379548461,0.78797494759305,231.363211571011,15435.6347575739,0
399.939595439111,228.763545035457,0.268446064276207,NaN,0.0117977652245298,0.613949099968458,0.795280377053696,229.824447017457,15719.8815384148,0
399.939595439111,225.969146684426,0.261888021474519,NaN,0.0141350745379,0.600083838451544,0.785483632876412,231.884716926228,15339.1345408274,0
399.939595439111,227.465617789525,0.265389995753123,NaN,0.0112323580204898,0.509177001327454,0.790730169218325,230.784539259555,15543.5036472003,0
399.939595439111,226.763893151857,0.263744973234137,NaN,0.0132974812378361,0.565881938223393,0.788270003411547,231.301338325619,15446.5849794645,0
399.939595439111,229.216025040227,0.269515550295164,NaN,0.0119555940606738,0.643613571335465,0.796866605174402,229.488458075429,15782.062851092,0
399.939595439111,225.399733894168,0.26056157815518,NaN,0.0135815381840059,0.581203080500134,0.783487226139994,232.301431384972,15263.3546846981,0
399.939595439111,226.47787772131,0.263075937674309,NaN,0.014917104364117,0.696803148650897,0.787267247037024,231.511522045593,15409.4613413305,0
399.939595439111,225.744079354766,0.261363328655098,NaN,0.0140048048610871,0.67314064192258,0.78469453414468,232.049554036916,15309.2267668222,0
399.939595439111,226.697341107748,0.263589222046267,NaN,0.0106356125329601,0.583774429503312,0.788036676132503,231.350269004379,15438.8145810829,0
399.939595439111,225.210892027945,0.260122411257935,NaN,0.0113729921743449,0.672792982412025,0.78282512164913,232.43939973478,15237.6640942816,0
399.939595439111,226.857949671788,0.263965170875019,NaN,0.0118939603753099,0.51415104885387,0.788599758624927,231.232161196526,15459.895137654,0
399.939595439111,225.805921372334,0.26150744703037,NaN,0.0131549978996131,0.53058423575695,0.784911356431368,232.004277914016,15317.126987675,0
399.939595439111,234.914490120609,0.283165377389051,NaN,0.0124933699462101,0.69182237050598,0.816840954631732,225.200238423337,16576.9225176212,0
399.939595439111,241.994491331504,0.30059129340545,NaN,0.0130267659425823,0.502551133778454,0.841651409272009,219.725725449417,17589.5530530809,0
399.939595439111,229.628495264594,0.27049230996674,NaN,0.0132748403075929,0.661475764180667,0.798312549722123,229.181599974575,15840.5302080348,0
399.939595439111,235.477974745185,0.284533329316291,NaN,0.0107611642833629,0.680474585088432,0.818815847980321,224.770483650829,16655.3481372019,0
399.939595439111,228.691854016141,0.268276808634544,NaN,0.0103035255211198,0.658195129728296,0.795029052231396,229.8776202455,15710.7688823869,0
399.939595439111,226.872983520431,0.264000375389206,NaN,0.0136708995328796,0.559993170852287,0.788652466076621,231.221101372212,15461.613613946,0
399.939595439111,225.48310454349,0.26075558040543,NaN,0.0139136447137594,0.658515097510831,0.783779533074613,232.240483780556,15273.8539257576,0
399.939595439111,227.712447120479,0.265969835299464,NaN,0.0103547729250583,0.55067046836425,0.79159550856695,230.602377293651,15577.1391787415,0
399.939595439111,226.989434437425,0.264273145590607,NaN,0.0103102124625476,0.5049362940258,0.789060732488443,231.135408086128,15477.5202278312,0
